Number,Frage,Antwort
324,"Ich muss sagen, mein Lieblingsfilm ist superschlecht.",ist das richtig? Warum?
325,ist das richtig? Warum?,"Ehrlich gesagt ist es einer der lustigsten Filme, die ich seit langem gesehen habe."
326,"Ehrlich gesagt ist es einer der lustigsten Filme, die ich seit langem gesehen habe.",sie haben Recht. dieser Film ist urkomisch.
327,sie haben Recht. dieser Film ist urkomisch.,"Ich dachte nicht, dass du diesen Film gesehen hast."
328,"Ich dachte nicht, dass du diesen Film gesehen hast.",Ich habe es mir am Tag seines Erscheinens angesehen.
329,Ich habe es mir am Tag seines Erscheinens angesehen.,Ich habe den ganzen Film über gelacht.
330,Ich habe den ganzen Film über gelacht.,Ich konnte mir auch das Lachen nicht verkneifen.
331,Ich konnte mir auch das Lachen nicht verkneifen.,Ebenfalls.
332,Ebenfalls.,Ich habe den Film gekauft. Möchtest du zu mir nach Hause kommen und es dir ansehen?
333,Ich habe den Film gekauft. Möchtest du zu mir nach Hause kommen und es dir ansehen?,Natürlich.
334,"Welcher von allen Filmen, die Sie gesehen haben, ist Ihr Favorit?","Ich muss sagen, dass „Superbad“ der beste Film aller Zeiten ist."
335,"Ich muss sagen, dass „Superbad“ der beste Film aller Zeiten ist.","Du denkst schon, wie kommt es?"
336,"Du denkst schon, wie kommt es?","Na ja, superbad ist super lustig."
337,"Na ja, superbad ist super lustig.","Du lügst nicht, ich fand den Film absolut urkomisch."
338,"Du lügst nicht, ich fand den Film absolut urkomisch.","Ich wusste vorher nicht, dass du Superbad gesehen hast."
339,"Ich wusste vorher nicht, dass du Superbad gesehen hast.","Ich stellte sicher, dass ich am ersten Tag, an dem es herauskam, in der Schlange stand, um es zu sehen."
340,"Ich stellte sicher, dass ich am ersten Tag, an dem es herauskam, in der Schlange stand, um es zu sehen.","Ich konnte den ganzen Film über nicht anders, als zu lachen."
341,"Ich konnte den ganzen Film über nicht anders, als zu lachen.",Ich habe die ganze Zeit hysterisch gelacht; Meine Bauchmuskeln taten danach weh.
342,Ich habe die ganze Zeit hysterisch gelacht; Meine Bauchmuskeln taten danach weh.,Genau so habe ich mich gefühlt.
343,Genau so habe ich mich gefühlt.,"Ich habe den Film bekommen, als er auf DVD herauskam. Möchtest du vorbeikommen?"
344,Welche Art von Musik hörst du gerne?,Ich höre gerne verschiedene Arten von Musik.
345,Ich höre gerne verschiedene Arten von Musik.,Wie zum Beispiel?
346,Wie zum Beispiel?,Ich mag Rock und R&B.
347,Ich mag Rock und R&B.,Warum das?
348,why is that?,"Ich mag die verschiedenen Instrumente, die sie verwenden."
349,"Ich mag die verschiedenen Instrumente, die sie verwenden.","Das ist ein guter Grund, etwas zu mögen."
350,"Das ist ein guter Grund, etwas zu mögen.","Ja, das denke ich auch."
351,Welche Musik hörst du gerne?,Ich höre gerne Musik aller Art.
352,Ich höre gerne Musik aller Art.,welche Art?
353,welche Art?,Ich höre gerne Rock und R&B.
354,Ich höre gerne Rock und R&B.,Warum magst du diese Art von Musik?
355,Warum magst du diese Art von Musik?,"Ich mag die Art der Instrumente, die sie verwenden."
356,"Ich mag die Art der Instrumente, die sie verwenden.","Ich denke, das ist ein ausgezeichneter Grund, etwas zu mögen."
357,"Ich denke, das ist ein ausgezeichneter Grund, etwas zu mögen.","Danke, mir geht es genauso."
358,Was ist dein Lieblingsmusikstil?,Ich höre verschiedene Arten von Musik.
359,Ich höre verschiedene Arten von Musik.,welche Genres?
360,welche Genres?,Ich höre gerne sowohl Rock als auch R&B.
361,Ich höre gerne sowohl Rock als auch R&B.,Was interessiert dich an dieser Art von Musik?
362,Was interessiert dich an dieser Art von Musik?,"Ich mag die verschiedenen Arten von Instrumenten, die sie verwenden."
363,"Ich mag die verschiedenen Arten von Instrumenten, die sie verwenden.","Das ist ein perfekter Grund, eine bestimmte Art von Musik zu mögen."
364,Warst du am Freitag beim Basketballspiel?,"Nein, ich habe es nicht geschafft."
365,"Nein, ich habe es nicht geschafft.",Du hast ein wirklich gutes Spiel verpasst.
366,Du hast ein wirklich gutes Spiel verpasst.,Ach wirklich? Wer gewann?
367,Ach wirklich? Wer gewann?,Unsere Schule hat es getan. Sie haben wirklich gut gespielt.
368,Unsere Schule hat es getan. Sie haben wirklich gut gespielt.,"Schade, dass ich beschäftigt war. Ich wollte unbedingt gehen."
369,"Schade, dass ich beschäftigt war. Ich wollte unbedingt gehen.","Ja, das hättest du tun sollen. es war wirklich aufregend."
370,"Ja, das hättest du tun sollen. es war wirklich aufregend.","Also, wie war das Ergebnis?"
371,"Also, wie war das Ergebnis?",Die Punktzahl betrug 101-98.
372,Die Punktzahl betrug 101-98.,"Mann, das war ein wirklich knappes Spiel."
373,"Mann, das war ein wirklich knappes Spiel.",Das hat es so großartig gemacht.
374,Das hat es so großartig gemacht.,Ich werde dafür sorgen und es bis zum nächsten schaffen.
375,Konnten Sie am Freitagabend beim Basketballspiel dabei sein?,Ich konnte es nicht schaffen.
376,Ich konnte es nicht schaffen.,Du hättest da sein sollen. es war intensiv.
377,Du hättest da sein sollen. es war intensiv.,ist das richtig. Wer hat am Ende gewonnen?
378,ist das richtig. Wer hat am Ende gewonnen?,Unser Team war siegreich.
379,Unser Team war siegreich.,"Ich wünschte, ich hätte diese Nacht frei. Ich bin irgendwie sauer, dass ich nicht gegangen bin."
380,"Ich wünschte, ich hätte diese Nacht frei. Ich bin irgendwie sauer, dass ich nicht gegangen bin.",Es war ein tolles Spiel.
381,Es war ein tolles Spiel.,Wie hoch war der Punktestand am Ende des Spiels?
382,Wie hoch war der Punktestand am Ende des Spiels?,Unser Team gewann 101-98.
383,Unser Team gewann 101-98.,"Es hört sich an, als wäre es ein knappes Spiel gewesen."
384,"Es hört sich an, als wäre es ein knappes Spiel gewesen.","Das ist der Grund, warum es ein so tolles Spiel war."
385,"Das ist der Grund, warum es ein so tolles Spiel war.",Beim nächsten Spiel werde ich auf jeden Fall dabei sein.
386,"Ich wollte dich fragen, ob du das Basketballspiel am Freitag gesehen hast.","Ich wollte gehen, aber ich konnte nicht."
387,"Ich wollte gehen, aber ich konnte nicht.",Es war ein tolles Spiel.
388,it was a great game.,"Schade, dass ich es nicht geschafft habe. Wer gewann?"
389,"Schade, dass ich es nicht geschafft habe. Wer gewann?",Unsere Mannschaft hat hart gespielt und gewonnen.
390,Unsere Mannschaft hat hart gespielt und gewonnen.,"Ich wünschte wirklich, ich wäre zum Spiel gegangen."
391,"Ich wünschte wirklich, ich wäre zum Spiel gegangen.",Es war das beste Spiel aller Zeiten.
392,Es war das beste Spiel aller Zeiten.,Sagen Sie mir also das Endergebnis.
393,Sagen Sie mir also das Endergebnis.,"die andere Mannschaft verlor mit drei Punkten Vorsprung, 101-98."
394,"die andere Mannschaft verlor mit drei Punkten Vorsprung, 101-98.",Es muss ein knappes Spiel gewesen sein.
395,Es muss ein knappes Spiel gewesen sein.,Es war wirklich. Du hättest gehen sollen.
396,was machst du dieses Wochenende?,Ich gehe mit einem Freund ins Kino. und du?
397,Ich gehe mit einem Freund ins Kino. und du?,Ich bin noch nicht sicher.
398,Ich bin noch nicht sicher.,"Na, wolltest du mit mir ins Kino gehen?"
399,"Na, wolltest du mit mir ins Kino gehen?",Welchen Film wirst du sehen?
400,Welchen Film wirst du sehen?,"Ich bin noch nicht sicher. Gibt es etwas, das du sehen möchtest?"
401,"Ich bin noch nicht sicher. Gibt es etwas, das du sehen möchtest?",Da fällt mir nichts ein.
402,Da fällt mir nichts ein.,"Also, wolltest du gehen?"
403,"Also, wolltest du gehen?","Nein, danke, vielleicht ein anderes Mal."
404,"Nein, danke, vielleicht ein anderes Mal.",Okay. Klingelt gut.
405,"Weißt du, was du dieses Wochenende machen wirst?",Ich werde mir mit einem Freund einen Film ansehen. Was ist mit dir?
406,Ich werde mir mit einem Freund einen Film ansehen. Was ist mit dir?,ich weiß nicht.
407,ich weiß nicht.,Möchtest du einen Film mit mir und meinem Freund sehen?
408,Möchtest du einen Film mit mir und meinem Freund sehen?,"Wissen Sie, welchen Film Sie sehen werden?"
409,"Wissen Sie, welchen Film Sie sehen werden?","Ich weiß es nicht, aber gab es einen bestimmten Film, den du sehen wolltest?"
410,"Ich weiß es nicht, aber gab es einen bestimmten Film, den du sehen wolltest?","keine, die mir einfällt."
411,"keine, die mir einfällt.","Na, möchtest du gehen?"
412,"Na, möchtest du gehen?","Vielen Dank für die Einladung, aber ich denke, ich werde bestehen."
413,"Vielen Dank für die Einladung, aber ich denke, ich werde bestehen.",in Ordnung. dann ein andermal.
414,"Habt ihr Ideen, was ihr dieses Wochenende machen wollt?",Ich gehe mit meinem Freund ins Kino. was werden Sie tun?
415,Ich gehe mit meinem Freund ins Kino. was werden Sie tun?,Ich bin mir noch nicht ganz sicher.
416,Ich bin mir noch nicht ganz sicher.,"Wie wäre es, wenn du mit mir und meinem Freund einen Film siehst?"
417,"Wie wäre es, wenn du mit mir und meinem Freund einen Film siehst?",Welchen Film wollen Sie und Ihr Freund ansehen?
418,Welchen Film wollen Sie und Ihr Freund ansehen?,"nicht sicher. Gibt es einen Film, der Ihnen ins Auge fällt?"
419,"nicht sicher. Gibt es einen Film, der Ihnen ins Auge fällt?",Mir fallen keine guten Filme ein.
420,Mir fallen keine guten Filme ein.,"Haben Sie sich entschieden, ob Sie gehen möchten oder nicht?"
421,"Haben Sie sich entschieden, ob Sie gehen möchten oder nicht?",Nein danke. Vielleicht ein anderes Mal.
422,Bist du heute zur Schule gegangen?,"Ja, ich bin heute zur Schule gegangen. warst du dort?"
423,"Ja, ich bin heute zur Schule gegangen. warst du dort?","Nein, ich bin nicht hingegangen, ich war krank."
424,"Nein, ich bin nicht hingegangen, ich war krank.",das ist Scheiße. Wolltest du die Aufgaben aus dem Englischunterricht?
425,das ist Scheiße. Wolltest du die Aufgaben aus dem Englischunterricht?,"das wäre schön, danke."
426,"das wäre schön, danke.","Keine Ursache, gern geschehen."
427,"Keine Ursache, gern geschehen.","Ich werde das Gleiche gerne für Sie tun, wenn Sie krank sind."
428,"Ich werde das Gleiche gerne für Sie tun, wenn Sie krank sind.","Nun ja, danke. Ich hoffe, wir sehen uns morgen in der Schule."
429,Warst du heute in der Schule?,Ich war heute in der Schule. hast du?
430,Ich war heute in der Schule. hast du?,"Ich konnte nicht zur Schule gehen, weil ich mich krank fühlte."
431,"Ich konnte nicht zur Schule gehen, weil ich mich krank fühlte.","Es tut mir leid, das zu hören. Möchten Sie die Aufgaben aus dem Englischunterricht?"
432,"Es tut mir leid, das zu hören. Möchten Sie die Aufgaben aus dem Englischunterricht?","Ich würde mich sehr darüber freuen, danke."
433,"Ich würde mich sehr darüber freuen, danke.",Es ist überhaupt kein Problem.
434,Es ist überhaupt kein Problem.,"Wenn du krank wirst, erwidere ich den Gefallen."
435,"Wenn du krank wirst, erwidere ich den Gefallen.","Danke. Wir sehen uns morgen in der Schule, wenn es dir besser geht."
436,Bist du heute zur Schule gegangen?,Ich ging heute zur Schule. Bist du zur Schule gegangen?
437,Ich ging heute zur Schule. Bist du zur Schule gegangen?,"Ich konnte heute nicht zur Schule gehen, ich war krank."
438,"Ich konnte heute nicht zur Schule gehen, ich war krank.",das ist schrecklich. Gerne gebe ich Ihnen die Aufgaben aus dem Englischunterricht.
439,das ist schrecklich. Gerne gebe ich Ihnen die Aufgaben aus dem Englischunterricht.,"Vielen Dank, das ist nett von dir."
440,"Vielen Dank, das ist nett von dir.",erwähne es nicht.
441,erwähne es nicht.,"Wenn du einen Schultag verpasst hast, gebe ich dir gerne die Englischaufgaben."
442,Hast du die Neuigkeiten gehört?,was ist passiert?
443,was ist passiert?,Bei unserer Cousine traten die Wehen ein und sie bekam letzte Woche ihr Baby.
444,Bei unserer Cousine traten die Wehen ein und sie bekam letzte Woche ihr Baby.,Sie tat? Warum hat mir das niemand gesagt?
445,Sie tat? Warum hat mir das niemand gesagt?,"Ich hätte gedacht, dass es dir jemand gesagt hätte."
446,"Ich hätte gedacht, dass es dir jemand gesagt hätte.","nein, ich hatte keine Ahnung."
447,"nein, ich hatte keine Ahnung.","Nun, das hat sie, ihr Baby wog 8 Pfund 6 Unzen."
448,"Nun, das hat sie, ihr Baby wog 8 Pfund 6 Unzen.","Oh mein Gott, das ist großartig!"
449,"Oh mein Gott, das ist großartig!",Wirst du sie und das Baby besuchen?
450,Wirst du sie und das Baby besuchen?,"Ich denke, dass ich es könnte."
451,"Ich denke, dass ich es könnte.","Gut! Ich dachte nur, ich lasse es dich wissen."
452,"Gut! Ich dachte nur, ich lasse es dich wissen.","Danke, dass du es mir gesagt hast."
453,"Hast du gehört, was passiert ist?",was gehört?
454,was gehört?,Debrah hatte bereits ihr Baby.
455,Debrah hatte bereits ihr Baby.,Das wusste ich nicht.
456,Das wusste ich nicht.,Ich dachte du wusstest.
457,Ich dachte du wusstest.,Ich wusste es ehrlich gesagt nicht.
458,Ich wusste es ehrlich gesagt nicht.,Das Baby wog 8 Pfund 6 Unzen.
459,Das Baby wog 8 Pfund 6 Unzen.,das ist gut zu hören.
460,das ist gut zu hören.,Wirst du sie besuchen?
461,Wirst du sie besuchen?,Natürlich werde ich.
462,Natürlich werde ich.,Ich wollte dir nur die gute Nachricht überbringen.
463,Ich wollte dir nur die gute Nachricht überbringen.,Danke für die Information.
464,hast du die Nachrichten gehört?,Ich habe nichts gehört.
465,i haven't heard anything.,Debrah hat letzte Woche ihr Baby bekommen.
466,Debrah hat letzte Woche ihr Baby bekommen.,niemand hat es mir gesagt.
467,niemand hat es mir gesagt.,"Ich dachte, du hättest es gehört."
468,"Ich dachte, du hättest es gehört.",Mir wurde wirklich nichts gesagt.
469,Mir wurde wirklich nichts gesagt.,Sie wog niedliche 8 Pfund und 6 Unzen.
470,Sie wog niedliche 8 Pfund und 6 Unzen.,"Wow, wie aufregend."
471,"Wow, wie aufregend.","Ich weiß, du solltest wirklich hingehen und sie und das Baby sehen."
472,"Ich weiß, du solltest wirklich hingehen und sie und das Baby sehen.",Natürlich werde ich.
473,of course i will.,"Ich wollte dir nur mitteilen, was passiert ist."
474,did you go to school today?,Natürlich. hast du?
475,Natürlich. hast du?,"Ich wollte nicht, also tat ich es nicht."
476,"Ich wollte nicht, also tat ich es nicht.","Das ist traurig, aber bist du in letzter Zeit ins Kino gegangen?"
477,"Das ist traurig, aber bist du in letzter Zeit ins Kino gegangen?",das ist ein Schalter.
478,das ist ein Schalter.,"Ich meine es ernst, oder?"
479,"Ich meine es ernst, oder?","Nein, das habe ich nicht. Warum?"
480,"Nein, das habe ich nicht. Warum?",Ich möchte dieses Wochenende unbedingt ins Kino gehen.
481,Ich möchte dieses Wochenende unbedingt ins Kino gehen.,also geh dann.
482,also geh dann.,Ich möchte wirklich nicht alleine gehen.
483,Ich möchte wirklich nicht alleine gehen.,"Na ja, hast du vor, morgen zur Schule zu gehen?"
484,"Na ja, hast du vor, morgen zur Schule zu gehen?","Nein, ich glaube, ich gehe ins Kino."
485,Hast du es heute zur Schule geschafft?,mache ich immer. Bist du heute zur Schule gegangen?
486,mache ich immer. Bist du heute zur Schule gegangen?,"Nein, das habe ich nicht."
487,"Nein, das habe ich nicht.","Das hättest du tun sollen, aber hast du in letzter Zeit irgendwelche Filme gesehen?"
488,"Das hättest du tun sollen, aber hast du in letzter Zeit irgendwelche Filme gesehen?",Das war ein seltsamer Themenwechsel.
489,Das war ein seltsamer Themenwechsel.,"Vielleicht war es das, aber beantworten Sie die Frage."
490,"Vielleicht war es das, aber beantworten Sie die Frage.","nein, nicht in letzter Zeit."
491,"nein, nicht in letzter Zeit.",Ich möchte dieses Wochenende ins Kino gehen.
492,Ich möchte dieses Wochenende ins Kino gehen.,Was hält dich denn davon ab?
493,Was hält dich denn davon ab?,Ich möchte nicht alleine gehen.
494,Ich möchte nicht alleine gehen.,"Also, wirst du morgen in der Schule sein?"
495,"Also, wirst du morgen in der Schule sein?","Nein, ich möchte stattdessen ins Kino gehen."
496,"Hast du dir heute überhaupt die Mühe gemacht, zur Schule zu gehen?","Ja, ich bin gegangen. bist du gegangen?"
497,"Ja, ich bin gegangen. bist du gegangen?","Nein, ich hatte keine Lust."
498,"Nein, ich hatte keine Lust.",Das ist schön. Warst du in letzter Zeit im Kino?
499,Das ist schön. Warst du in letzter Zeit im Kino?,"Nein, aber das war ein zufälliger Themenwechsel."
500,"Nein, aber das war ein zufälliger Themenwechsel.","Es mag zufällig gewesen sein, aber bei Ihnen?"
501,"Es mag zufällig gewesen sein, aber bei Ihnen?",habe ich in letzter Zeit nicht.
502,habe ich in letzter Zeit nicht.,Ich würde dieses Wochenende gerne einen Film sehen.
503,Ich würde dieses Wochenende gerne einen Film sehen.,"Also, warum gehst du dann nicht einfach?"
504,"Also, warum gehst du dann nicht einfach?",Ich möchte keinen Film alleine sehen.
505,Ich möchte keinen Film alleine sehen.,"Okay, gehst du morgen zur Schule?"
506,"Vielen Dank, dass Sie heute zu mir gekommen sind.",es ist kein Problem. Ich habe dich sowieso wirklich vermisst.
507,es ist kein Problem. Ich habe dich sowieso wirklich vermisst.,ich habe dich auch vermisst.
508,ich habe dich auch vermisst.,"Warum hast du dann nicht versucht, mich zu besuchen?"
509,"Warum hast du dann nicht versucht, mich zu besuchen?",Ich war sehr beschäftigt.
510,Ich war sehr beschäftigt.,was machen?
511,was machen?,Arbeiten.
512,Arbeiten.,"Ich wäre schon früher zu dir gekommen, aber ich war auch beschäftigt."
513,"Ich wäre schon früher zu dir gekommen, aber ich war auch beschäftigt.",was hast du gemacht?
514,was hast du gemacht?,Ich habe auch gearbeitet.
